Name,Url,DataSource,ExtractedDate,Firm_,Phone,Fax,Address,Contact,Position,Mobile_No_,PostalAddress,Email,Conditions,Maintenance_and_General_Works_Group,Traffic_Management_Services_contract_Groups,PrequalificationCategories,Letter,ABN_Found,ABNStatus,YearsInOperation,RegisteredDate,EntityType,RegisteredName,State
SAGE Automation**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/068ab3f774eebf66ca2579ac00048751?OpenDocument,Fresh,21/01/2026 16:06,SAGE Automation Pty Ltd,(08) 8276 0700,(08) 8276 0799,"Level 21, HWT Tower, 40 City Road, Southbank VIC 3006",Mr Paul Markwick,General Manager,0419 030 561,"As above, &nbsp",paul.markwick@gotosage.com,,,"Traffic Control Systems Supply & Maintenance; a: SCTV- Closed Circuit Television, SCTV - Communications, SOED - Supply of On-Road Electronic Devices, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2","OF, ON, ON-ROAD, ROAD, SCTV, SOED, SSLC, STCE",S,,,,,,,
SALT3**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/eeb0b86ae689e515ca257e6700031e74?OpenDocument,Fresh,21/01/2026 16:06,Sustainable Transport Surveys Pty Ltd atf ST Surveys Unit Trust,(03) 9020 4225,,"Level 6, 360 Collins Street, MELBOURNE VIC 3000",Ms Jo Garretty,Director,,"""As Above"", &nbsp",melbourne@salt3.com.au,,,,"DMR, DSD, PAM, PRN, PRS, ROAD, TAR, TOS, TPF, TSD, TSM, TTF",S,,,,,,,
Samsung C&amp;T Corporation,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/825dfc2cf928004bca258861001482ac?OpenDocument,Fresh,21/01/2026 16:06,Samsung C&T Corporation,02 8732 1900,,"Level 2, 44 Market Street, SYDNEY NSW 2000",Mr Mark Curzon,Business Development Manager,0488 480 122,"""As Above"", &nbsp",mark.curzon@samsung.com,,,,"B4, F150+, R5",S,,,,,,,
Sandridge Roads Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f0b84cdbdabc5fafca256d6d001b941d?OpenDocument,Fresh,21/01/2026 16:06,Sandridge Roads Pty Ltd,(03) 5998 8209,(03) 5998 8388,"410 Tooradin Station Road, DALMORE VIC 3981",Ms Rachelle Saunders,"QA Manager, OH&S Co-ordinator",0407 862 065,"P O Box 69, TOORADIN VIC 3980&nbsp",rachelle@sandridgeroads.com.au,,,,"F025, R2",S,,,,,,,
Sands Civil Group Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7e5447a7fc959864ca257f7d0000eaf9?OpenDocument,Fresh,21/01/2026 16:06,Sands Civil Group Pty Ltd,(03) 5977 6562,,"Unit 3 Guelph Street, SOMERVILLE VIC 3912",Mr Sagar Aher,Engineer,0403 594 846,"P O Box 916, SOMERVILLE VIC 3912&nbsp",admin@sandscivilgroup.com.au,,,,,S,,,,,,,
Seed Engineering Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f822166feda9265bca25814c001dba21?OpenDocument,Fresh,21/01/2026 16:06,Seed Engineering Pty Ltd,(02) 9518 4427,,"Suite 6.09, 55 Miller Street, PYRMONT NSW 2009",Mrs Nina Kilpinen,Managing Director,0407 205 709,"""As Above"", &nbsp",info@seedenigneering.com.au,,,,"FIR, FVR, OF, PAM, PRN, PRS, ROAD, TAR, TOF, TOS, TPF, TTF",S,,,,,,,
Senversa Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8a5bbf1208244bb7ca2577b6001ec2fd?OpenDocument,Fresh,21/01/2026 16:06,Senversa Pty Ltd,(03) 9606 0070,,"Level 6, 15 William Street, MELBOURNE VIC 3000",Mr Neil Thomson,Principal,+61 499 771 822,"""As Above"", &nbsp",Neil.Thomson@senversa.com.au,N/A,,,"DES, GT, GT-DES, GT-GWH, GT-INV, GWH, INV",S,,,,,,,
Service Stream Maintenance Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/84cbf3d1a12ffb2bca25876c001790a2?OpenDocument,Fresh,21/01/2026 16:06,Service Stream Maintenance Pty Ltd,03 9677 8888,,"Level 5, 655 Collins Street, DOCKLANDS VIC 3008",Mr Clynton Husband,General Manager - Strategy and Growth,0478 740 290,"PO Box 14570, Melbourne VIC 8001&nbsp",Clynton.husband@servicestream.com.au,,"Maintenance: Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW)","Traffic Control Systems Supply & Maintenance; a: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2","B1, BW, F150+, M2-BW, M2-PW, M2-RW, PW, R2, RW, SCTV, SSLC, STCE",S,,,,,,,
Seven Creeks Excavations Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c4d77e4767cead90ca2584f70016f121?OpenDocument,Fresh,21/01/2026 16:06,Seven Creeks Excavations Pty Ltd,,,"7-9 Garrett Street, EUROA VIC 3666",Mr Rowan Burton,Director,0418 297 990,"PO BOX 28, EUROA VIC 3666&nbsp",Sc.excavations@bigpond.com,,,,"B1, F005, R1",S,,,,,,,
Seymour Whyte Constructions Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e0ce1c460075791dca257e2d00193c5f?OpenDocument,Fresh,21/01/2026 16:06,Seymour Whyte Constructions Pty Ltd,(07) 3340 4800,(07) 3340 4811,"Suite 3.04 Level 3 , 11 Queens Road, MELBOURNE VIC 3004",Mrs Annette Hitchcox,Senior Proposals Coordinator,0458 070 266,"PO Box 4436, EIGHT MILE PLAINS QLD 4113&nbsp",Annette.hitchcox@seymourwhyte.com.au,,,,"B4, F150+, R5",S,,,,,,,
SGS Australia Traffic Systems**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/01c6675bd1052521ca256e62000721af?OpenDocument,Fresh,21/01/2026 16:06,SGS Australia Pty Ltd,(03) 9574 3347,(03) 9574 3399,"10 / 585 Blackburn Road, NOTTING HILL VIC 3168",Mrs Yiling Liang,Business Manger - Traffic Systems,0436 940 741,"PO Box 32 , WELSHPOOL WA 6105&nbsp",Yiling.Liang@sgs.com,,,,"E-EMS, EMS, PRS, ROAD",S,,,,,,,
Shamrock Civil Engineering Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b09883db8ed635fbca2582890005a240?OpenDocument,Fresh,21/01/2026 16:06,Shamrock Civil Engineering Pty Ltd,07 3727 1100,07 3879 4100,"195 Cobalt Street, CAROLE PARK QLD 4300",Mr Gio Beretta,Systems Manager,0457 320 071,"P O Box 207, ELLEN GROVE QLD 4078&nbsp",gioberetta@shamrockcivil.com.au,,,,"B2, F075, R3",S,,,,,,,
Shenoc Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9d734812b77d8a58ca257738001fac63?OpenDocument,Fresh,21/01/2026 16:06,Shenoc Pty Ltd,0471 567 667,(03) 5793 8102,"55 Sharps & Taylors Road, TALLAROOK VIC 3659",Mr Warrick Kendell,Director,0417 567 667,"""As Above"", &nbsp",kendell.w@bigpond.com,,General Works: Grass Cutting (G2-GC),,GC,S,,,,,,,
SHS Civil **,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ebdf0ae65543e7a6ca2575bb007e6ad4?OpenDocument,Fresh,21/01/2026 16:06,S T Hamilton & Sons Construction Pty Ltd,(03) 5352 1640,(03) 5352 2436,"72 Port Fairy Road, ARARAT VIC 3377",Mr Jacob Hamilton,Operational Manager,0407 814 336,"""As Above""&nbsp",admin@shscivil.com.au,,"Maintenance: Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW), Maintenance Works-Minor (M1); General Works: Grass Cutting (G2-GC), Road Surfacing Sprayed Seal (G2-RSS)",,"B1, BW, F001, GC, M1, M2-BW, M2-PW, M2-RW, PW, R2, ROAD, RSS, RW, SEAL, WORKS-MINOR",S,,,,,,,
SICE Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e73009b7121c6071ca2583eb000b5e3d?OpenDocument,Fresh,21/01/2026 16:06,SICE Pty Ltd,03 8256 6900,03 9820 9554,"200 Carlisle St.,, ST KILDA VIC 3182",Mr Carlos Granados,Business Development Manager,(+61) 472 507 300,"""As Above"", &nbsp",cagranados@sice.com,,,,"TAR, TCA, TMC, TOF",S,,,,,,,
Sidra Solutions**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1f819780bce47de4ca256d0a000735b8?OpenDocument,Fresh,21/01/2026 16:06,Akcelik & Associates Pty Ltd,(03) 9857 4943,(03) 9857 7462,"Suite 1, 291 Doncaster Road, BALWYN NORTH VIC 3104",Mr Sevim Akcelik,Manager Operations & Quality,0419 755 954,"PO BOX 1075G, GREYTHORN VIC 3104&nbsp",info@sidrasolutions.com,,,,"DBS, DMR, DSD, TAR, TMC, TOF, TOS, TSM, TTF",S,,,,,,,
Signs Traffic Management Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ea9da8ed451930dfca2587ad0013fac4?OpenDocument,Fresh,21/01/2026 16:06,Signs Traffic Management Pty Ltd,1800 866 722,,"37 Denbeigh Close, MOOLAP VIC 3224",Mr Ben Kirk,Managing Director,0421 754 566,"""As Above"", &nbsp",admin@signstrafficmanagement.com.au,,,,,S,,,,,,,
Silman Bros Asphalting Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2e85dec519a5d6acca257ec1001edf2e?OpenDocument,Fresh,21/01/2026 16:06,Silman Bros Asphalting Pty Ltd,03 9305 6000,,"42 Yellowbox Drive, CRAIGIEBURN VIC 3064",Mr Grant Silman,Director,0430 773 169,"""As Above"", &nbsp",info@silmanbros.com.au,Silman Bros Asphalting Pty Ltd can only implement traffic management plans for works they are personally conducting,"Maintenance: Maintenance Pavements (M2-PW), Maintenance Works-Minor (M1)",,"M1, M2-PW, PW, WORKS-MINOR",S,,,,,,,
Silverstrand Developments Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3f6c72551c27b40fca25868e007fc284?OpenDocument,Fresh,21/01/2026 16:06,Silverstrand Developments Pty Ltd,(07) 3472 1440,,"17/16 Metroplex Avenue, MURARRIE, QLD 4172",Mr Kieran Hale,Senior Estimator,0412 149 708,"""As Above"", &nbsp",Estimating@silverstrand.com.au,,,,"B3, F100, R2",S,,,,,,,
Simpson Construction Company Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/30c7c8cbb8765571ca256d0b00171c49?OpenDocument,Fresh,21/01/2026 16:06,Simpson Construction Company Pty Ltd,(03) 9808 0611,(03) 9808 6375,"4 Duffy Street, BURWOOD VIC 3125",Mr Tom Simpson,Company Director,,"""As Above""&nbsp",office@simcon.com.au,,,,"B3, F010, R2",S,,,,,,,
Site Geotechnical Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/96bd1d4416a839f3ca25794b007bf38f?OpenDocument,Fresh,21/01/2026 16:06,Site Geotechnical Pty Ltd,1300 557 260,,"4/8 Cannery Court, TYABB VIC 3913",Mr Frank Tostovrsnik,Managing Director,0434 268 660,"""As Above"", &nbsp",frank@sitegeo.com.au,NA,,,"AND, FPD1, FPD2, M1, ND1, ND2, PT1, PT2, RM1",S,,,,,,,
Sitec Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/aac446e516e46d75ca258518008196aa?OpenDocument,Fresh,21/01/2026 16:06,Sitec Pty Ltd,03 5561 3939,,"184 Fairy Street, WARRNAMBOOL VIC 3280",Mr Stuart Titmus,Director,0427 629 661,"""As Above"", &nbsp",stuart@sitecvic.com.au,,,,"ROAD, RR",S,,,,,,,
SJE Consulting Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9d348ed4a2d06d8eca2589b2000b37ab?OpenDocument,Fresh,21/01/2026 16:06,SJE Consulting Pty Ltd,,,"613 Plenty Road, PRESTON VIC 3072",Mrs Christie Fisher,Civil Engineer/ Senior Design Engineer,0439 112 515,"391 Townsend Street, ALBURY NSW &nbsp",cfisher@sje.com.au,,,,"H-SIMPLE, ROAD, RR, SH",S,,,,,,,
SJP Electrics Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3531b41a9e5fad54ca25792f007ec357?OpenDocument,Fresh,21/01/2026 16:06,SJP Electrics Pty Ltd,(03) 9716 3100,(03) 9716 3400,"6 Sir Leo Curtis Drive, WANDONG 3758",Mr Stuart Patton,Director,0417 571 002,"P O Box 296, Whittlesea VIC 3757&nbsp",stuart@sjpelectrics.com.au,,,"Traffic Control Systems Supply & Maintenance; a: SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","SSLC, STCE, STS, STS1, STS2",S,,,,,,,
Slattery Australia Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/99d846e7f9f7affbca257c590002f103?OpenDocument,Fresh,21/01/2026 16:06,Slattery Australia Pty Ltd,(03) 9602 1313,(03) 9602 3388,"Level 14, 160 Queen Street, Melbourne, VIC 3000",Mr Sarah Slattery,Director,,"""As Above"", &nbsp",melbourne@slattery.com.au,,,,"CE, COST",S,,,,,,,
Slingo Earthmoving Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9423b6222ce090a4ca257cdd0006a966?OpenDocument,Fresh,21/01/2026 16:06,Slingo Earthmoving Pty Ltd,(03) 5470 5655,(03) 5470 5755,"Lot 28A McKenzies Hill, Castlemaine VIC 3450",Mr Dean Slingo,Managing Director,0417 032 621,"PO Box 1250, Castlemaine VIC 3450&nbsp",office@slingoearthmoving.com.au,,,,"B1, F010, R2",S,,,,,,,
SLR Consulting Group (Previously Heggies Pty Ltd),https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a215f34875b6c32fca256d0a00075dd9?OpenDocument,Fresh,21/01/2026 16:06,SLR Consulting Group (Previously Heggies Pty Ltd),,(03) 9249 9499,"Suite 2 / 2 Domville Avenue, HAWTHORN VIC 3122",Mr Gustaf Reutersward,Melbourne Office Manager,0412 052 622,"""As Above""&nbsp",melbourne@slrconsulting.com,,,,"AIR, AQMD, E-AQMD, E-NMD, NMD",S,,,,,,,
SMEC Australia Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/caadd87cc0a014c9ca256d0a0007612c?OpenDocument,Fresh,21/01/2026 16:06,SMEC Australia Pty Ltd,(03) 9514 1500,(03) 9514 1502,"Collins Square, Tower 4,, 727 Collins Street, MELBOURNE VIC 3008",Mr George Eleftheriadis,Manager ? Roads and Highways,0403 052 785,"PO Box 23027, DOCKLANDS VIC 8012&nbsp",george.eleftheriadis@smec.com,,,,"AFF, AND, CH, CS, DBS, DES, DMR, DSD, EA, E-AFF, E-EMS, EMS, E-TFL, FD, FPD1, FPD2, FPR, GAIN, GT, GT-DES, GT-GWH, GT-INV, GT-PRE, GWH, HC, H-COMPLEX, H-SIMPLE, INV, LAND, LVI, M2, M3, M4, ND1, ND2, ND3, NET, PAM, PE, PNM, PRE, PRN, PRS, PSAD, PSAM, RM2, RM3, RM4, ROAD, RPD, RPR, RR, SH, SS, ST, STRUCTURES-COMPLEX, STRUCTURES-SIMPLE, TAR, TCA, TFL, TLD, TM, TOF, TOS, TPF, TSD, TSM, TTF, UR, USE, WSRD",S,,,,,,,
Smith &amp; Wil Asphalting Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e53ea4e12d031534ca257d7e001fbe86?OpenDocument,Fresh,21/01/2026 16:06,Smith & Wil Asphalting Pty Ltd,(03) 5339 8220,(03) 5339 4050,"46 Giles Road, MOUNT ROWAN VIC 3352",Mrs Robyn Smithson,Office Manager,0427 327 658,"""As Above"", &nbsp",robyn@smithwil.com,,Maintenance: Maintenance Pavements (M2-PW),,"M2-PW, PW",S,,,,,,,
South Gippsland Shire Council,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/de5be431fa48334aca257b4700160869?OpenDocument,Fresh,21/01/2026 16:06,South Gippsland Shire Council,(03) 5662 9200,(03) 5662 3754,"9 Smith Street, Leongatha, VIC 3953",Mr Fred Huitema,Operations Manager,0428 821 279,"Private Bag 4, Leongatha, VIC 3953&nbsp",council@southgippsland.vic.gov.au,,,,,S,,,,,,,
Southern Highway Services**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6c2fd17a841dea08ca258d080000f519?OpenDocument,Fresh,21/01/2026 16:06,Line Marking Services Victoria Pty Ltd,03 5245 7662,03 5245 8222,"17-21 Grayling Street, BELMONT VIC 3216",Mr Wayne Robertson,Managing Director,0412 469 779,"PO Box 790, BELMONT VIC 3216&nbsp",Wayne@southernhighway.com.au,,"Maintenance: Maintenance Works-Minor (M1); General Works: Linemarking (G2-LM), Sign Erection-Major (G2-SE)",,"ERECTION-MAJOR, LM, M1, SE, SIGN, WORKS-MINOR",S,,,,,,,
Southwest Traffic Control Pty,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/610e3588c686857fca258053001302f9?OpenDocument,Fresh,21/01/2026 16:06,Southwest Traffic Control Pty,(03) 5598 3429,,"129 Curdievale Road, TIMBOON VIC 3268",Miss Anna Maloney,Operations Manager,0458 844191,"""As Above"", &nbsp",ops@swtraffic.com.au,,,,,S,,,,,,,
Spiire Australia Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e1a34d63113dd3ecca257c9b0006c007?OpenDocument,Fresh,21/01/2026 16:06,Spiire Australia Pty Ltd,+61 3 9993 7950,,"Level 6, 414 La Trobe Street, MELBOURNE, VIC 3000",Mr Zoran Dimovski,Systems Manager,,"P O Box 16084 , MELBOURNE, VIC 8007&nbsp",Zoran.Dimovski@spiire.com.au,,,,"AND, CH, H-COMPLEX, H-SIMPLE, LVI, PSAD, ROAD, RR, SH, UR",S,,,,,,,
Spotters Australia Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5cfd042c9ac345bcca257c580005e20c?OpenDocument,Fresh,21/01/2026 16:06,Spotters Australia Pty Ltd,(03) 9394 8264,(03) 8353 1456,"255 Point Cook Road, Point Cook, VIC 3030",Mr Ray Castellin,Operations Manager,0418 399 710,"""As Above"", &nbsp",info@spottersau.com.au,,,,,S,,,,,,,
Spotto Consulting Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ad2bee83edcd89eeca2585c300159ef6?OpenDocument,Fresh,21/01/2026 16:06,Spotto Consulting Pty Ltd,,,"9 Belah Court, THURGOONA NSW",Mr Steve Swann,Director,0455 11 77 82,"""As Above"", &nbsp",hello@spottoconsulting.com.au,,,,"PAM, PRS, ROAD, TAR, TSD, TTF",S,,,,,,,
SprayLine Road Services,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b4b1af2c1a928181ca256d0b00171ee8?OpenDocument,Fresh,21/01/2026 16:06,SprayLine Road Services,(03) 9861 7333,(03) 9882 9321,"26 Fowler Road, DANDENONG VIC 3175",Mr Trevor New,State Manager,0418 504 376,"""As Above""&nbsp",admin@sprayline.com.au,,"Maintenance: Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1), Linemarking (G2-LM), Road Surfacing Sprayed Seal (G2-RSS)",,"B1, BW, F050, LM, M1, M2-BW, M2-PW, M2-RW, PW, R2, ROAD, RSS, RW, SEAL, WORKS-MINOR",S,,,,,,,
SR Excavations Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/264ad95970a79eafca257ee600166734?OpenDocument,Fresh,21/01/2026 16:06,SR Excavations Pty Ltd,(03) 5956 7423,,"5/24 -26 Boys Home Road, NEWHAVEN VIC 3925",Mr Bradley John Hewton,Director/Public Officer,0429 598 819,"""As Above"", &nbsp",admin@srexcavations.com.au,,,,,S,,,,,,,
SRG Global Civil Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7b6a65d4bceeb4d7ca2584b70080c466?OpenDocument,Fresh,21/01/2026 16:06,SRG Global Civil Pty Ltd,08 926 7540,,"Level 2, 500 Hay Street, Sydney NSW 2000",Mr Dominic Beeson,Group Compliance Manager,0420 269 376,"Level 4/56 Pitt Street, 6008&nbsp",dominic.beeson@srgglobal.com.au,,,,"B4, F150+, R5",S,,,,,,,
STA Traffic Management Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9b35ae9724714c6aca2573af00044a75?OpenDocument,Fresh,21/01/2026 16:06,STA Traffic Management Pty Ltd,(03) 9687 4044,(03) 9687 0571,"224 Whitehall Road, YARRAVILLE VIC 3013",Mr Jean-Paul Cellier,Managing Director,0418 808 809,"PO BOX 386, YARRAVILLE VIC 3013&nbsp",sta@statraffic.com.au,,,,,S,,,,,,,
Stabilised Pavements of Australia Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e44a0c5464d1df7aca25736200255b1c?OpenDocument,Fresh,21/01/2026 16:06,Stabilised Pavements of Australia Pty Ltd,(03) 8339 4063,(03) 8339 4064,"59 Yellowbox Drive, CRAIGEBURN VIC 3064",Mr Daniel Orriss,Executive General Manager,0429 820 253,"PO Box 616, CRAIGEBURN VIC 3064&nbsp",dorriss@stabilis.com.au,,,,"B1, F100, FPD1, FPD2, M1, M2, ND1, ND2, R3, RM1, RM2",S,,,,,,,
Stadelmann Earthmoving Civil  &amp; Plant Hire**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c79a1d596c3eba08ca256d0b00171fec?OpenDocument,Fresh,21/01/2026 16:06,Stadelmann Enterprises Pty Ltd,(03) 5755 1435,(03) 5755 1228,"336 Back Germantown Road, BRIGHT VIC 3741",Mr Harald K Stadelmann,Director,0419 406 318 or 0418 458 331,"PO Box 102 , BRIGHT VIC 3741&nbsp",armstad@bigpond.com,,"Maintenance: Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW)",,"BW, M2-BW, M2-PW, M2-RW, PW, RW",S,,,,,,,
Stantec Australia Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/260de1a496a9afc4ca2582180007ae97?OpenDocument,Fresh,21/01/2026 16:06,Stantec Australia Pty Ltd,03 9851 9692,,"Level 28, 600 Bourke Street, MELBOURNE VIC 3000",Mr Marco Vargas,Group Leader / Senior Principal Engineer,0411 961 816,"""As Above"", &nbsp",,GT-GWH - 1 year provisional (Expired 10 September 2024),,,"CH, CS, DBS, DES, FD, FPD1, FPD2, GT, GT-DES, GT-GWH, GT-INV, GWH, HC, H-COMPLEX, H-SIMPLE, INV, LAND, M1, M2, ND1, ND2, PAM, PE, PNM, PRL, PRN, PRS, RISK, RM, RM1, RM2, ROAD, RR, SH, SS, ST, STRUCTURES-COMPLEX, STRUCTURES-SIMPLE, TAR, TCA, TLD, TM, TMC, TOF, TOS, TPF, TSD, TSM, TTF, UR, USE, WSRD",S,,,,,,,
State Plant Hire Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ddd14640d649d5f3ca257a370027b168?OpenDocument,Fresh,21/01/2026 16:06,State Plant Hire Pty Ltd,(03) 9702 9757,(03) 9702 8771,"293 South Gippsland Highway, Dandenong South, VIC 3164",Ms Debbie Murray,Operations Manager,0407 509 740,"P O Box 4226, Dandenong South, VIC 3164&nbsp",stateplanthire1@bigpond.com,,"Maintenance: Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW); General Works: General Works-Minor (G1), Grass Cutting (G2-GC), Landscaping (G2-LS)",,"GC, LS, M2-PW, M2-RW, PW, RW, WORKS-MINOR",S,,,,,,,
Statewide River &amp; Stream Management Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6e52c07d487bd5e5ca25778b008271f7?OpenDocument,Fresh,21/01/2026 16:06,Statewide River & Stream Management Pty Ltd,03 9702 9757,03 9702 8771,"293 South Gippsalnd Highway, Dandenong South Vic 3164",Mr Ken Fraser,Environmental Projects Manager,0418 526 444,"PO Box 4226 , Dandenong South Vic 3164&nbsp",kfraser@statewiderivers.com,,,,"EAC, E-EAC, E-EMS, EMS",S,,,,,,,
Stealth Traffic Management Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c1afa42b2562cf4dca2581e000191419?OpenDocument,Fresh,21/01/2026 16:06,Stealth Traffic Management Pty Ltd,,,"43 Mowbray Street, MAWSON LAKES SA 5095",Ms Patsy Smith,Director,0430041045,"""As Above"", &nbsp",operations@stealthtrafficmanagement.com.au,,,,,S,,,,,,,
Steller Traffic Pty Ltd,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5944ef789584a68bca258251001b94f7?OpenDocument,Fresh,21/01/2026 16:06,Steller Traffic Pty Ltd,(03) 8899 6363,,"840 Dandenong Road, CAUFIELD EAST VIC 3145",Mr Stavros Arberoris,Manager,0409 023 643,"""As Above"", &nbsp",traffic@steller.com.au,,,,,S,,,,,,,
Sterling**,https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/261d6a2c662bb990ca2583af0013ee26?OpenDocument,Fresh,21/01/2026 16:06,Sterling Infrastructure Pty Ltd,03 9329 9370,,"105 Bakehouse Road, KENSINGTON VIC 3331",Mr Daniel McLeish,Asset Management Program Lead,0473 862 933,"""As Above"", &nbsp",d.mcleish@sterling.com.au,,,,"BI2, SS, STRUCTURES-SIMPLE",S,,,,,,,
